rgn_id,kingdom,species,iucn_status,year,risk.wt
1,ANIMALIA,Acanthastrea bowerbanki,VU,2008,0.4
1,ANIMALIA,Acanthastrea echinata,LC,2014,0
1,ANIMALIA,Acanthastrea hillae,NT,2014,0.2
1,ANIMALIA,Acanthastrea rotondoflora,"NA","NA",0.5
1,ANIMALIA,Acrohelia horrescens,LC,2014,0
1,ANIMALIA,Acropora abrotanoides,LC,2014,0
1,ANIMALIA,Acropora aculeus,VU,2014,0.4
1,ANIMALIA,Acropora acuminata,VU,2014,0.4
1,ANIMALIA,Acropora aspera,VU,2014,0.4
1,ANIMALIA,Acropora austera,NT,2008,0.2
1,ANIMALIA,Acropora brueggemanni,"NA","NA",0.5
1,ANIMALIA,Acropora bushyensis,LC,2008,0
1,ANIMALIA,Acropora cerealis,LC,2014,0
1,ANIMALIA,Acropora chesterfieldensis,LC,2008,0
1,ANIMALIA,Acropora clathrata,LC,2008,0
1,ANIMALIA,Acropora cuneata,VU,2014,0.4
1,ANIMALIA,Acropora cytherea,LC,2008,0
1,ANIMALIA,Acropora dendrum,VU,2008,0.4
1,ANIMALIA,Acropora digitifera,NT,2014,0.2
1,ANIMALIA,Acropora divaricata,NT,2008,0.2
1,ANIMALIA,Acropora donei,VU,2008,0.4
1,ANIMALIA,Acropora echinata,VU,2008,0.4
1,ANIMALIA,Acropora elseyi,LC,2008,0
1,ANIMALIA,Acropora florida,NT,2014,0.2
1,ANIMALIA,Acropora gemmifera,LC,2014,0
1,ANIMALIA,Acropora grandis,LC,2014,0
1,ANIMALIA,Acropora granulosa,NT,2014,0.2
1,ANIMALIA,Acropora horrida,VU,2008,0.4
1,ANIMALIA,Acropora humilis,NT,2014,0.2
1,ANIMALIA,Acropora hyacinthus,NT,2008,0.2
1,ANIMALIA,Acropora intermedia,"NA","NA",0.5
1,ANIMALIA,Acropora kirstyae,VU,2008,0.4
1,ANIMALIA,Acropora latistella,LC,2008,0
1,ANIMALIA,Acropora listeri,VU,2014,0.4
1,ANIMALIA,Acropora longicyathus,LC,2008,0
1,ANIMALIA,Acropora loripes,NT,2014,0.2
1,ANIMALIA,Acropora lutkeni,NT,2014,0.2
1,ANIMALIA,Acropora microclados,VU,2008,0.4
1,ANIMALIA,Acropora microphthalma,LC,2014,0
1,ANIMALIA,Acropora millepora,NT,2014,0.2
1,ANIMALIA,Acropora monticulosa,NT,2014,0.2
1,ANIMALIA,Acropora muricata,"NA","NA",0.5
1,ANIMALIA,Acropora nasuta,NT,2014,0.2
1,ANIMALIA,Acropora palifera,NT,2014,0.2
1,ANIMALIA,Acropora paniculata,VU,2008,0.4
1,ANIMALIA,Acropora polystoma,VU,2008,0.4
1,ANIMALIA,Acropora pulchra,LC,2008,0
1,ANIMALIA,Acropora robusta,LC,2014,0
1,ANIMALIA,Acropora samoensis,LC,2014,0
1,ANIMALIA,Acropora sarmentosa,LC,2008,0
1,ANIMALIA,Acropora secale,NT,2014,0.2
1,ANIMALIA,Acropora selago,NT,2008,0.2
1,ANIMALIA,Acropora solitaryensis,VU,2008,0.4
1,ANIMALIA,Acropora spicifera,VU,2008,0.4
1,ANIMALIA,Acropora subglabra,LC,2014,0
1,ANIMALIA,Acropora subulata,LC,2008,0
1,ANIMALIA,Acropora tenuis,NT,2014,0.2
1,ANIMALIA,Acropora tortuosa,LC,2008,0
1,ANIMALIA,Acropora valenciennesi,LC,2008,0
1,ANIMALIA,Acropora valida,LC,2014,0
1,ANIMALIA,Acropora vaughani,VU,2014,0.4
1,ANIMALIA,Acropora verweyi,VU,2014,0.4
1,ANIMALIA,Acropora yongei,LC,2008,0
1,ANIMALIA,Alveopora allingi,VU,2014,0.4
1,ANIMALIA,Alveopora catalai,NT,2008,0.2
1,ANIMALIA,Alveopora fenestrata,VU,2014,0.4
1,ANIMALIA,Alveopora spongiosa,NT,2014,0.2
1,ANIMALIA,Alveopora tizardi,LC,2008,0
1,ANIMALIA,Alveopora verrilliana,VU,2014,0.4
1,ANIMALIA,Anacropora forbesi,LC,2008,0
1,ANIMALIA,Anacropora puertogalerae,VU,2014,0.4
1,ANIMALIA,Astreopora expansa,NT,2008,0.2
1,ANIMALIA,Astreopora gracilis,LC,2014,0
1,ANIMALIA,Astreopora listeri,LC,2014,0
1,ANIMALIA,Astreopora myriophthalma,LC,2014,0
1,ANIMALIA,Astreopora ocellata,LC,2008,0
1,ANIMALIA,Blastomussa merleti,LC,2008,0
1,ANIMALIA,Blastomussa wellsi,NT,2008,0.2
1,ANIMALIA,Cantharellus noumeae,EN,2008,0.6
1,ANIMALIA,Coeloseris mayeri,LC,2014,0
1,ANIMALIA,Coscinaraea columna,LC,2014,0
1,ANIMALIA,Coscinaraea exesa,LC,2008,0
1,ANIMALIA,Coscinaraea monile,"NA","NA",0.5
1,ANIMALIA,Coscinaraea wellsi,LC,2008,0
1,ANIMALIA,Ctenactis albitentaculata,NT,2014,0.2
1,ANIMALIA,Ctenactis crassa,LC,2008,0
1,ANIMALIA,Ctenactis echinata,LC,2014,0
1,ANIMALIA,Cynarina lacrymalis,NT,2008,0.2
1,ANIMALIA,Dendrophyllia micranthus,"NA","NA",0.5
1,ANIMALIA,Fungia concinna,LC,2014,0
1,ANIMALIA,Fungia costulata,"NA","NA",0.5
1,ANIMALIA,Fungia cyclolites,LC,2014,0
1,ANIMALIA,Fungia distorta,"NA","NA",0.5
1,ANIMALIA,Fungia fragilis,LC,2014,0
1,ANIMALIA,Fungia fungites,NT,2014,0.2
1,ANIMALIA,Fungia granulosa,LC,2014,0
1,ANIMALIA,Fungia gravis,"NA","NA",0.5
1,ANIMALIA,Fungia horrida,LC,2014,0
1,ANIMALIA,Fungia moluccensis,LC,2008,0
1,ANIMALIA,Fungia paumotensis,LC,2014,0
1,ANIMALIA,Fungia repanda,LC,2014,0
1,ANIMALIA,Fungia scabra,LC,2008,0
1,ANIMALIA,Fungia scruposa,LC,2014,0
1,ANIMALIA,Fungia scutaria,LC,2014,0
1,ANIMALIA,Fungia sinensis,LC,2014,0
1,ANIMALIA,Fungia somervillei,"NA","NA",0.5
1,ANIMALIA,Fungia spinifer,"NA","NA",0.5
1,ANIMALIA,Fungia vaughani,LC,2014,0
1,ANIMALIA,Galaxea astreata,VU,2008,0.4
1,ANIMALIA,Galaxea fascicularis,NT,2014,0.2
1,ANIMALIA,Gardineroseris planulata,LC,2014,0
1,ANIMALIA,Goniopora columna,NT,2014,0.2
1,ANIMALIA,Goniopora djiboutiensis,LC,2014,0
1,ANIMALIA,Goniopora fruticosa,LC,2014,0
1,ANIMALIA,Goniopora lobata,NT,2014,0.2
1,ANIMALIA,Goniopora minor,NT,2014,0.2
1,ANIMALIA,Goniopora norfolkensis,LC,2008,0
1,ANIMALIA,Goniopora pandoraensis,LC,2014,0
1,ANIMALIA,Goniopora somaliensis,LC,2014,0
1,ANIMALIA,Goniopora stokesi,NT,2008,0.2
1,ANIMALIA,Goniopora stutchbury,LC,2008,0
1,ANIMALIA,Goniopora tenuidens,LC,2014,0
1,ANIMALIA,Halomitra pileus,LC,2014,0
1,ANIMALIA,Heliofungia actiniformis,VU,2008,0.4
1,ANIMALIA,Herpolitha limax,LC,2014,0
1,ANIMALIA,Heterocyathus aequicostatus,LC,2008,0
1,ANIMALIA,Heteropsammia cochlea,LC,2008,0
1,ANIMALIA,Hydnophora exesa,NT,2014,0.2
1,ANIMALIA,Hydnophora microconos,NT,2014,0.2
1,ANIMALIA,Hydnophora rigida,LC,2014,0
1,ANIMALIA,Leptastrea inaequalis,NT,2008,0.2
1,ANIMALIA,Leptastrea pruinosa,LC,2008,0
1,ANIMALIA,Leptastrea purpurea,LC,2014,0
1,ANIMALIA,Leptastrea transversa,LC,2014,0
1,ANIMALIA,Leptoseris explanata,LC,2014,0
1,ANIMALIA,Leptoseris foliosa,LC,2014,0
1,ANIMALIA,Leptoseris gardineri,LC,2014,0
1,ANIMALIA,Leptoseris hawaiiensis,LC,2014,0
1,ANIMALIA,Leptoseris mycetoseroides,LC,2014,0
1,ANIMALIA,Leptoseris scabra,LC,2014,0
1,ANIMALIA,Leptoseris tenuis,"NA","NA",0.5
1,ANIMALIA,Leptoseris yabei,VU,2008,0.4
1,ANIMALIA,Lithophyllum mokai,LC,2008,0
1,ANIMALIA,Lobophyllia corymbosa,LC,2014,0
1,ANIMALIA,Lobophyllia costata,"NA","NA",0.5
1,ANIMALIA,Lobophyllia hataii,LC,2014,0
1,ANIMALIA,Lobophyllia hemprichii,LC,2014,0
1,ANIMALIA,Lobophyllia pachysepta,NT,2008,0.2
1,ANIMALIA,Madracis kirbyi,"NA","NA",0.5
1,ANIMALIA,Merulina ampliata,LC,2014,0
1,ANIMALIA,Merulina scabricula,LC,2014,0
1,ANIMALIA,Montipora aequituberculata,LC,2014,0
1,ANIMALIA,Montipora australiensis,VU,2008,0.4
1,ANIMALIA,Montipora caliculata,VU,2014,0.4
1,ANIMALIA,Montipora crassituberculata,VU,2008,0.4
1,ANIMALIA,Montipora danae,LC,2014,0
1,ANIMALIA,Montipora digitata,LC,2008,0
1,ANIMALIA,Montipora efflorescens,NT,2014,0.2
1,ANIMALIA,Montipora effusa,NT,2008,0.2
1,ANIMALIA,Montipora floweri,LC,2014,0
1,ANIMALIA,Montipora foliosa,NT,2014,0.2
1,ANIMALIA,Montipora foveolata,NT,2014,0.2
1,ANIMALIA,Montipora grisea,LC,2014,0
1,ANIMALIA,Montipora hispida,LC,2008,0
1,ANIMALIA,Montipora hoffmeisteri,LC,2014,0
1,ANIMALIA,Montipora incrassata,NT,2008,0.2
1,ANIMALIA,Montipora informis,LC,2014,0
1,ANIMALIA,Montipora millepora,LC,2008,0
1,ANIMALIA,Montipora mollis,LC,2008,0
1,ANIMALIA,Montipora nodosa,NT,2008,0.2
1,ANIMALIA,Montipora peltiformis,NT,2008,0.2
1,ANIMALIA,Montipora ramosa,"NA","NA",0.5
1,ANIMALIA,Montipora spongodes,LC,2008,0
1,ANIMALIA,Montipora spumosa,LC,2008,0
1,ANIMALIA,Montipora tuberculosa,LC,2014,0
1,ANIMALIA,Montipora turgescens,LC,2008,0
1,ANIMALIA,Montipora turtlensis,VU,2008,0.4
1,ANIMALIA,Montipora undata,NT,2008,0.2
1,ANIMALIA,Montipora venosa,NT,2014,0.2
1,ANIMALIA,Montipora verrucosa,LC,2014,0
1,ANIMALIA,Pachyseris rugosa,VU,2014,0.4
1,ANIMALIA,Pachyseris speciosa,LC,2014,0
1,ANIMALIA,Palauastrea ramosa,"NA","NA",0.5
1,ANIMALIA,Pavona cactus,VU,2014,0.4
1,ANIMALIA,Pavona clavus,LC,2014,0
1,ANIMALIA,Pavona decussata,VU,2014,0.4
1,ANIMALIA,Pavona explanulata,LC,2014,0
1,ANIMALIA,Pavona maldivensis,LC,2014,0
1,ANIMALIA,Pavona minuta,NT,2014,0.2
1,ANIMALIA,Pavona varians,LC,2014,0
1,ANIMALIA,Pavona venosa,VU,2014,0.4
1,ANIMALIA,Physogyra lichtensteini,VU,2014,0.4
1,ANIMALIA,Plerogyra simplex,NT,2014,0.2
1,ANIMALIA,Plerogyra sinuosa,NT,2014,0.2
1,ANIMALIA,Plesiastrea versipora,LC,2014,0
1,ANIMALIA,Pocillopora damicornis,LC,2014,0
1,ANIMALIA,Pocillopora eydouxi,NT,2014,0.2
1,ANIMALIA,Pocillopora meandrina,LC,2014,0
1,ANIMALIA,Pocillopora verrucosa,LC,2014,0
1,ANIMALIA,Pocillopora woodjonesi,LC,2014,0
1,ANIMALIA,Podabacia crustacea,LC,2014,0
1,ANIMALIA,Polyphyllia novaehiberniae,NT,2008,0.2
1,ANIMALIA,Polyphyllia talpina,LC,2014,0
1,ANIMALIA,Porites australiensis,LC,2014,0
1,ANIMALIA,Porites cylindrica,NT,2014,0.2
1,ANIMALIA,Porites lichen,LC,2014,0
1,ANIMALIA,Porites lobata,NT,2014,0.2
1,ANIMALIA,Porites lutea,LC,2014,0
1,ANIMALIA,Porites murrayensis,NT,2014,0.2
1,ANIMALIA,Porites nigrescens,VU,2014,0.4
1,ANIMALIA,Porites rus,LC,2014,0
1,ANIMALIA,Porites solida,LC,2014,0
1,ANIMALIA,Porites vaughani,LC,2014,0
1,ANIMALIA,Psammocora contigua,NT,2014,0.2
1,ANIMALIA,Psammocora digitata,NT,2014,0.2
1,ANIMALIA,Psammocora explanulata,"NA","NA",0.5
1,ANIMALIA,Psammocora haimeana,LC,2014,0
1,ANIMALIA,Psammocora nierstraszi,"NA","NA",0.5
1,ANIMALIA,Pseudosidastrea tayamai,"NA","NA",0.5
1,ANIMALIA,Sandalolitha robusta,LC,2008,0
1,ANIMALIA,Saropathes margaritae,"NA","NA",0.5
1,ANIMALIA,Scapophyllia cylindrica,LC,2014,0
1,ANIMALIA,Scolymia australis,LC,2014,0
1,ANIMALIA,Scolymia fungiformis,"NA","NA",0.5
1,ANIMALIA,Scolymia vitiensis,NT,2008,0.2
1,ANIMALIA,Seriatopora caliendrum,NT,2014,0.2
1,ANIMALIA,Seriatopora hystrix,LC,2014,0
1,ANIMALIA,Stylocoeniella armata,LC,2014,0
1,ANIMALIA,Stylocoeniella guentheri,LC,2014,0
1,ANIMALIA,Stylophora mordax,"NA","NA",0.5
1,ANIMALIA,Stylophora pistillata,NT,2014,0.2
1,ANIMALIA,Symphyllia agaricia,LC,2014,0
1,ANIMALIA,Symphyllia radians,LC,2008,0
1,ANIMALIA,Symphyllia recta,LC,2008,0
1,ANIMALIA,Symphyllia valenciennesi,LC,2014,0
1,ANIMALIA,Tubastrea aurea,"NA","NA",0.5
1,ANIMALIA,Turbinaria bifrons,VU,2008,0.4
1,ANIMALIA,Turbinaria conspicua,"NA","NA",0.5
1,ANIMALIA,Turbinaria heronensis,"NA","NA",0.5
1,ANIMALIA,Turbinaria mesenterina,VU,2014,0.4
1,ANIMALIA,Turbinaria patula,VU,2008,0.4
1,ANIMALIA,Turbinaria peltata,VU,2008,0.4
1,ANIMALIA,Turbinaria radicalis,NT,2008,0.2
1,ANIMALIA,Turbinaria reniformis,VU,2014,0.4
1,ANIMALIA,Turbinaria stellulata,VU,2014,0.4
1,PLANTAE,Canavalia sericea,LC,2012,0
1,PLANTAE,Erythrina variegata,LC,2012,0
1,PLANTAE,Excoecaria agallocha,LC,2010,0
1,PLANTAE,Pemphis acidula,LC,2010,0
1,PLANTAE,Abutilon indicum,"NA","NA",0.5
1,PLANTAE,Achyranthes aspera var. velutina,"NA","NA",0.5
1,PLANTAE,Acrostichum aureum,"NA","NA",0.5
1,PLANTAE,Arytera neoebudensis,"NA","NA",0.5
1,PLANTAE,Bikkia tetrandra,"NA","NA",0.5
1,PLANTAE,Boerhavia diffusa,"NA","NA",0.5
1,PLANTAE,Casuarina equisetifolia subsp. incana,"NA","NA",0.5
1,PLANTAE,Cenchrus caliculatus,"NA","NA",0.5
1,PLANTAE,Chloris barbata,"NA","NA",0.5
1,PLANTAE,Cocos nucifera,"NA","NA",0.5
1,PLANTAE,Colubrina asiatica var. asiatica,"NA","NA",0.5
1,PLANTAE,Eugenia aff. noumeensis,"NA","NA",0.5
1,PLANTAE,Ficus spp.,"NA","NA",0.5
1,PLANTAE,Heliotropium foertherianum,"NA","NA",0.5
1,PLANTAE,Hibiscus tiliaceus,"NA","NA",0.5
1,PLANTAE,Ipomoea pes-caprae subsp. brasiliensis,"NA","NA",0.5
1,PLANTAE,Lepturus repens,"NA","NA",0.5
1,PLANTAE,Leucaena leucocephala,"NA","NA",0.5
1,PLANTAE,Microsorum grossum,"NA","NA",0.5
1,PLANTAE,Nephrolepis brownii,"NA","NA",0.5
1,PLANTAE,Pandanus tectorius,"NA","NA",0.5
1,PLANTAE,Paspalum vaginatum,"NA","NA",0.5
1,PLANTAE,Pipturus argenteus var. lanosus,"NA","NA",0.5
1,PLANTAE,Pisonia grandis,"NA","NA",0.5
1,PLANTAE,Portulaca lutea,"NA","NA",0.5
1,PLANTAE,Portulaca sp.,"NA","NA",0.5
1,PLANTAE,Rivina humilis,"NA","NA",0.5
1,PLANTAE,Scaevola taccada var. taccada,"NA","NA",0.5
1,PLANTAE,Schleinitzia insularum,"NA","NA",0.5
1,PLANTAE,Senna glanduligera,"NA","NA",0.5
1,PLANTAE,Sesuvium portulacastrum,"NA","NA",0.5
1,PLANTAE,Stenotaphrum micranthum,"NA","NA",0.5
1,PLANTAE,Suriana maritima,"NA","NA",0.5
1,PLANTAE,Thuarea involuta,"NA","NA",0.5
1,PLANTAE,Urochloa subquadripara,"NA","NA",0.5
1,PLANTAE,Wollastonia lifuana,"NA","NA",0.5
