species,iucn_status,year
hians,LC,2015
galatheae,LC,2015
peronii,LC,2010
tenuimana,LC,2011
bowerbanki,VU,2008
echinata,LC,2014
hemprichii,VU,2008
hillae,NT,2014
ishigakiensis,VU,2014
lordhowensis,NT,2008
rotundoflora,NT,2014
solandri,LC,2011
armatus,LC,2015
akazakii,DD,2014
achilles,LC,2012
albipectoralis,LC,2012
blochii,LC,2012
dussumieri,LC,2012
grammoptilus,LC,2012
guttatus,LC,2012
leucopareius,LC,2012
lineatus,LC,2012
mata,LC,2012
nigricans,LC,2012
nigricauda,LC,2012
nigrofuscus,LC,2012
nubilus,LC,2012
olivaceus,LC,2012
pyroferus,LC,2012
thompsoni,LC,2012
triostegus,LC,2012
xanthopterus,LC,2012
fasciatus,LC,2012
haplochrous,NT,2012
tentaculata,LC,2016
pancheri,NT,2010
radiatus,LC,2016
tomentosus,LC,2016
aoupiniensis,VU,1998
bullatus,NT,2010
calcicola,EN,2010
domatifer,VU,1998
fatsioides,VU,1998
megaphyllus,VU,1998
veillonii,EN,1998
abrolhosensis,VU,2008
abrotanoides,LC,2014
aculeus,VU,2014
acuminata,VU,2014
akajimensis,DD,2008
anthocercis,VU,2008
aspera,VU,2014
austera,NT,2008
bushyensis,LC,2008
carduus,NT,2008
caroliniana,VU,2008
cerealis,LC,2014
chesterfieldensis,LC,2008
clathrata,LC,2008
copiosa,DD,2008
cytherea,LC,2008
dendrum,VU,2008
digitifera,NT,2014
divaricata,NT,2008
donei,VU,2008
echinata,VU,2008
efflorescens,DD,2008
elseyi,LC,2008
exquisita,DD,2008
florida,NT,2014
formosa,NT,2014
gemmifera,LC,2014
glauca,NT,2008
grandis,LC,2014
granulosa,NT,2014
horrida,VU,2008
humilis,NT,2014
hyacinthus,NT,2008
inermis,DD,2008
insignis,DD,2008
kirstyae,VU,2008
latistella,LC,2008
listeri,VU,2014
lokani,VU,2008
longicyathus,LC,2008
loripes,NT,2014
lovelli,VU,2014
lutkeni,NT,2014
microclados,VU,2008
microphthalma,LC,2014
millepora,NT,2014
mirabilis,DD,2008
monticulosa,NT,2014
nana,NT,2008
nasuta,NT,2014
nobilis,LC,2008
palmerae,VU,2014
paniculata,VU,2008
pharaonis,VU,2008
pichoni,NT,2008
polystoma,VU,2008
pulchra,LC,2008
rambleri,DD,2014
robusta,LC,2014
rosaria,DD,2008
samoensis,LC,2014
sarmentosa,LC,2008
secale,NT,2014
selago,NT,2008
solitaryensis,VU,2008
spathulata,LC,2008
spicifera,VU,2008
subglabra,LC,2014
subulata,LC,2008
tenuis,NT,2014
torresiana,DD,2008
tortuosa,LC,2008
valenciennesi,LC,2008
valida,LC,2014
vaughani,VU,2014
verweyi,VU,2014
yongei,LC,2008
speciosum,LC,2010
huerlimannii,NT,1998
albonigra,DD,2013
caerulea,DD,2013
echinites,VU,2013
flammea,LC,2013
fusca,DD,2013
lecanora,DD,2013
mauritiana,VU,2013
miliaris,VU,2013
palauensis,LC,2013
spinea,LC,2013
hypoleucos,LC,2012
capillus-veneris,LC,2013
savesi,CR,2013
strigatus,DD,2016
spodiopygius,LC,2014
brevistyla,LC,2013
rogaa,DD,2008
narinari,NT,2006
ocellatus,VU,2016
lanceolata,VU,2010
montana,CR,2014
moorei,VU,2010
ovata,EN,2010
elaeagnoidea,LC,1998
insignis,LC,2011
berryi,LC,2015
duboisii,LC,2010
eydouxii,LC,2010
laevis,LC,2010
guillainii,VU,2010
argentea,DD,2012
affinis,LC,2015
ciliaris,LC,2010
vari,LC,2010
brevirostris,LC,2015
ferox,LC,2010
australis,LC,2015
productus,LC,2015
glabrata,VU,1998
pelagicus,VU,2009
superciliosus,VU,2009
vulpinus,VU,2009
erubescens,VU,1998
sessilis,LC,2014
sertatus,LC,2014
monoceros,LC,2015
scriptus,LC,2015
allingi,VU,2014
catalai,NT,2008
fenestrata,VU,2014
marionensis,VU,2008
spongiosa,NT,2014
tizardi,LC,2008
verrilliana,VU,2014
scopas,LC,2016
cinerea,LC,2012
interrupta,LC,2012
miops,LC,2012
bimacula,LC,2016
sandaracinos,LC,2010
pelagicus,LC,2014
forbesi,LC,2008
puertogalerae,VU,2014
caeruleopunctatus,LC,2010
femininus,LC,2010
neoguinaicus,LC,2010
twistii,LC,2010
gracilis,LC,2012
superciliosa,LC,2012
numaeensis,EN,2010
marmorata,LC,2014
megastoma,DD,2014
obscura,DD,2014
cornuta,LC,2015
pharao,LC,2015
minutus,LC,2015
stolidus,LC,2012
striatus,LC,2015
nummifer,LC,2015
capros,LC,2015
rostrata,LC,2015
leucogrammicus,LC,2008
gelatinosus,LC,2015
velutinum,NT,1998
striata,LC,2012
amboinensis,DD,2012
compressus,LC,2010
hyalosoma,LC,2012
indicus,LC,2010
rubrimacula,LC,2010
ocellatus,LC,2010
trimaculatus,LC,2010
albisoma,LC,2015
longicephalus,LC,2015
melanoasper,LC,2016
bernieri,VU,2010
biramulata,VU,2010
columnaris,LC,2010
humboldtensis,EN,2010
laubenfelsii,NT,2010
luxurians,EN,2010
montana,VU,2010
muelleri,EN,2010
nemorosa,CR,2010
rulei,EN,2010
schmidii,VU,2010
scopulorum,EN,2010
subulata,NT,2010
glandulosa,VU,1998
lentiscifolia,VU,1998
paivana,VU,1998
regalis,LC,2011
forsteri,LC,2015
alba,LC,2015
bulleri,VU,2012
pacifica,LC,2012
interpres,LC,2012
argo,LC,2014
boettgeri,LC,2014
hians,LC,2014
nodosa,LC,2014
hemigymnus,LC,2010
sladeni,LC,2015
lunifer,LC,2015
firmamentum,LC,2014
hispidus,LC,2014
immaculatus,LC,2014
manilensis,LC,2014
mappa,LC,2014
meleagris,LC,2014
nigropunctatus,LC,2014
reticularis,LC,2014
stellatus,LC,2014
leucorynchus,LC,2012
nekorensis,VU,2010
dussumieri,LC,2014
taeniatus,LC,2014
hjorti,LC,2015
nitida,LC,2012
cucullata,VU,2008
expansa,NT,2008
gracilis,LC,2014
listeri,LC,2014
macrostoma,NT,2008
moretonensis,VU,2008
myriophthalma,LC,2014
ocellata,LC,2008
randalli,LC,2014
suggesta,LC,2008
indicus,LC,2015
stokesii,LC,2010
galacticus,LC,2011
japonicus,LC,2010
elymus,LC,2010
platyxylon,VU,2010
holomelas,LC,2014
pilipes,LC,2013
kanakorum,VU,2003
chinensis,LC,2015
subula,LC,2012
fasciata,LC,2012
cracens,VU,1998
montis-do,NT,1998
horizontalis,VU,1998
lotoides,VU,2010
spicata,NT,2010
marina,LC,2010
guamensis,LC,2012
ocellaris,LC,2012
australis,LC,2012
floribunda,LC,2011
calcarata,LC,2015
megalops,LC,2015
acutorostrata,LC,2008
edeni,DD,2008
musculus,EN,2008
physalus,EN,2013
balansae,NT,1998
pininsularis,EN,1998
amicorum,LC,2014
laddi,VU,2014
rufa,LC,2015
favieri,VU,1998
humboldtiana,NT,1998
iterata,VU,1998
pancheri,NT,2013
porphyrea,NT,1998
tomentosa,VU,1998
vestita,VU,1998
compressus,LC,2015
levistomatus,LC,2015
robustus,LC,2010
metallicus,LC,2015
chani,LC,2011
rubens,LC,2011
imperfectus,DD,2013
danae,LC,2015
longipes,LC,2015
ferox,LC,2015
mollis,LC,2015
crassicollis,DD,2011
cyclura,DD,2011
exsuccida,EN,2010
geitaina,NT,2010
goroensis,EN,2011
madjo,NT,2011
montana,DD,2011
ornata,EN,2011
pulchella,NT,2010
robusta,NT,2011
sauvagii,DD,2011
septuiclavis,NT,2011
congesta,EN,1998
crassifolia,VU,1998
belobranchus,DD,2012
infans,LC,2015
decadactylus,LC,2015
splendens,LC,2015
vitiensis,LC,2011
kaalaensis,EN,1998
lenormandii,EN,1998
pachyphylla,NT,1998
latro,DD,1996
merleti,LC,2008
wellsi,NT,2008
pierucciae,DD,2012
caudolineata,LC,2014
chrysospilos,LC,2014
paula,LC,2014
arborea,EN,1998
castaneifolia,EN,1998
longipes,EN,1998
anthioides,LC,2010
axillaris,LC,2010
bilunulatus,LC,2010
bimaculatus,LC,2010
cylindriatus,LC,2010
dictynna,LC,2010
flavifrons,LC,2010
izuensis,DD,2010
loxozonus,LC,2010
masudai,LC,2010
mesothorax,LC,2010
paraleucosticticus,DD,2010
perditio,LC,2010
argus,LC,2013
maculisparsa,VU,2013
marmorata,DD,2013
similis,DD,2013
tenuissima,DD,2013
vitiensis,DD,2013
muricatum,VU,2012
distofax,LC,2015
photothorax,LC,2015
supralateralis,LC,2015
pygmaea,LC,2014
koniamboensis,VU,1998
mononema,LC,2015
mancus,LC,2010
taylori,LC,2016
mutica,LC,2013
reptans,LC,2013
nectabanus,LC,2015
lanuginosa,NT,1998
gymnorhiza,LC,2010
ibis,LC,2015
betchei,LC,2013
gyrinoides,LC,2012
amboinensis,LC,2012
striata,LC,2014
flabelliformis,LC,2012
caerulaurea,LC,2010
janiceae,DD,2009
carnosa,CR,2014
mariapetrae,VU,2011
aquilonius,NT,2011
atropunctatus,LC,2013
auratus,EN,2011
austrocaledonicus,LC,2011
bodoi,LC,2011
chazeaui,EN,2011
cryptos,DD,2011
festivus,LC,2011
haplorhinus,LC,2011
orestes,EN,2011
renevieri,EN,2011
terma,VU,2011
maculata,LC,2009
sarasini,LC,2009
acuminata,LC,2015
alba,LC,2012
ferruginea,NT,2015
ruficollis,NT,2015
tenuirostris,EN,2015
neocaledonica,CR,2010
neocaledonica,NT,2010
sulcata,EN,2010
inophyllum,LC,1998
carolinus,LC,2012
godeffroyi,LC,2010
monticola,EN,2004
whitei,CR,1998
favieri,CR,2010
sericea,LC,2012
veillonii,CR,2010
bibroni,LC,2012
noumeae,EN,2008
dumerilii,LC,2016
fronticinctus,LC,2016
longicaudus,DD,2016
pardalis,LC,2016
maculata,LC,2015
amboinensis,LC,2014
axiologus,LC,2014
bennetti,LC,2014
callisterna,LC,2014
compressa,LC,2014
epilampra,LC,2014
janthinoptera,LC,2014
ocellicincta,LC,2014
papua,LC,2014
solandri,LC,2014
valentini,LC,2014
lugubris,LC,2015
sexfasciatus,LC,2010
albimarginatus,NT,2009
falciformis,NT,2009
leucas,NT,2009
longimanus,VU,2015
melanopterus,NT,2009
obscurus,VU,2009
plumbeus,VU,2009
carcharias,VU,2009
caretta,VU,2015
imitatrix,LC,2013
longicarpus,DD,2013
longirostris,LC,2013
novaecaledoniae,LC,2013
rubella,LC,2013
serratirostris,LC,2013
weberi,LC,2013
coriifolia,NT,1998
kaalaensis,EN,1998
artensis,EN,1998
jardinei,VU,2008
curvata,VU,2008
echinulata,VU,2008
furcata,LC,2008
jordani,LC,2015
pelagica,DD,2015
euryotis,EN,2010
similis,EN,2011
balansae,VU,2010
hypoleuca,EN,1998
minima,LC,2011
cristatus,DD,2016
scutatus,LC,2016
nigroocellatus,LC,2015
niger,LC,2015
moluccensis,DD,2013
bicolor,LC,2010
bispinosa,LC,2010
colini,LC,2010
fisheri,LC,2010
flavissima,LC,2010
heraldi,LC,2010
loricula,LC,2010
nigriocellus,LC,2010
nox,LC,2010
tibicen,LC,2010
vrolikii,LC,2010
argus,LC,2008
aurantia,DD,2008
boenak,LC,2008
igarashiensis,DD,2008
leopardus,LC,2008
microprion,LC,2008
miniata,LC,2008
sexmaculata,LC,2008
sonnerati,LC,2008
spiloparaea,LC,2008
urodeta,LC,2008
holboelli,LC,2015
helenae,LC,2014
warmingii,LC,2015
micrantha,NT,2013
neriifolia,EN,1998
obtusifolia,VU,1998
tagal,LC,2010
coralium,LC,2011
goldiei,DD,2012
oxyrhyncus,DD,2012
plicatilis,DD,2012
globiceps,LC,2015
ocellatus,LC,2012
regani,DD,2015
draco,LC,2015
auriga,LC,2010
baronessa,LC,2010
bennetti,DD,2010
citrinellus,LC,2010
ephippium,LC,2010
flavirostris,LC,2010
guentheri,LC,2010
kleinii,LC,2010
lineolatus,LC,2010
lunula,LC,2010
lunulatus,LC,2010
melannotus,LC,2010
mertensii,LC,2010
meyeri,LC,2010
ornatissimus,LC,2010
pelewensis,LC,2010
plebeius,LC,2010
rafflesii,LC,2010
reticulatus,DD,2010
speculum,LC,2010
trifascialis,NT,2010
ulietensis,LC,2010
unimaculatus,LC,2010
vagabundus,LC,2010
conspicillatus,LC,2010
lucidus,LC,2012
longirostris,LC,2014
neocaledonicus,EN,2008
tauensis,LC,2010
lepidota,NT,1998
bicinctus,LC,2014
leschenaultii,LC,2012
mongolus,LC,2012
diadema,CR,2013
sloani,LC,2015
chlorourus,LC,2010
fasciatus,LC,2010
oxycephalus,LC,2010
trilobatus,LC,2010
undulatus,EN,2004
inermis,LC,2010
singapurensis,LC,2010
cyanopterus,LC,2015
furcatus,LC,2015
heterurus,LC,2015
rapanouiensis,LC,2010
orobanchoides,LC,2013
macrolepis,LC,2012
melinopterus,LC,2012
mydas,EN,2004
niger,LC,2015
reticulatus,LC,2015
phantasma,DD,2006
agassizi,LC,2015
bleekeri,LC,2012
frontalis,LC,2012
microrhinos,LC,2012
spilurus,LC,2012
anchorago,LC,2010
fasciatus,LC,2010
gomoni,LC,2010
graphicus,LC,2010
jordani,LC,2010
margaritiferus,LC,2010
oligacanthus,LC,2010
schoenleinii,NT,2004
brachysoma,LC,2015
alpha,LC,2010
flavipinnis,LC,2010
unimaculata,LC,2015
approximans,LC,2012
bathyphilus,LC,2010
laboutei,LC,2010
lineatus,LC,2010
punctatus,LC,2010
roseafascia,LC,2010
falco,LC,2016
oxycephalus,LC,2016
pinnulatus,LC,2016
castaneus,LC,2014
chelomatus,LC,2014
filamentosus,LC,2010
polyzona,LC,2014
quagga,LC,2014
stigmaticus,LC,2014
mariscus,LC,2013
lemurum,CR,1998
lochmios,VU,1998
marginatum,VU,1998
veillonii,VU,1998
bicolor,LC,2011
bougainvillei,DD,2011
corona,LC,2011
olivaceum,LC,2016
oualaniensis,LC,2011
pachycephaloides,LC,2012
minus,VU,1998
atlantica,LC,2015
shcherbachevi,DD,2010
mayeri,LC,2014
esculenta,LC,2015
vitiensis,LC,2012
diffusa,LC,2013
achatinus,LC,2013
acutangulus,LC,2013
alisi,LC,2013
ammiralis,LC,2013
aphrodite,LC,2013
arenatus,LC,2013
armadillo,LC,2013
articulatus,LC,2013
artoptus,LC,2013
aulicus,LC,2013
aureus,LC,2013
auricomus,LC,2013
baileyi,LC,2013
balteatus,LC,2013
bandanus,LC,2013
betulinus,LC,2013
boholensis,LC,2013
boucheti,LC,2013
bruuni,LC,2013
bullatus,LC,2013
canonicus,LC,2013
capitanellus,LC,2013
capitaneus,LC,2013
catus,LC,2013
cervus,LC,2013
chaldaeus,LC,2013
chiangi,LC,2013
cinereus,LC,2013
circumactus,LC,2013
coccineus,LC,2013
coelinae,LC,2013
coffeae,LC,2013
comatosa,LC,2013
consors,LC,2013
corallinus,LC,2013
coronatus,LC,2013
crocatus,LC,2013
cylindraceus,LC,2013
darkini,LC,2013
dayriti,LC,2013
distans,LC,2013
dusaveli,LC,2013
ebraeus,LC,2013
eburneus,LC,2013
emaciatus,LC,2013
episcopatus,LC,2013
estivali,DD,2013
excelsus,LC,2013
exiguus,LC,2013
ferrugineus,LC,2013
figulinus,LC,2013
flavidus,LC,2013
floccatus,LC,2013
floridulus,LC,2013
frigidus,LC,2013
generalis,LC,2013
geographus,LC,2013
glans,LC,2013
gondwanensis,LC,2013
granum,LC,2013
gratacapii,DD,2013
hamamotoi,DD,2013
howelli,LC,2013
ichinoseana,LC,2013
imperialis,LC,2013
ione,LC,2013
kanakinus,LC,2013
kimioi,LC,2013
kuroharai,LC,2013
lamberti,LC,2013
legatus,LC,2013
leopardus,LC,2013
lienardi,LC,2013
lischkeanus,LC,2013
litoglyphus,LC,2013
litteratus,LC,2013
lividus,LC,2013
loyaltiensis,LC,2013
luciae,LC,2013
magus,LC,2013
marmoreus,LC,2013
mcbridei,DD,2013
memiae,LC,2013
miles,LC,2013
miliaris,LC,2013
mitratus,LC,2013
moluccensis,LC,2013
monachus,LC,2013
moreleti,LC,2013
muriculatus,LC,2013
musicus,LC,2013
mustelinus,LC,2013
nussatella,LC,2013
obscurus,LC,2013
ochroleucus,LC,2013
omaria,LC,2013
orbignyi,LC,2013
pagodus,LC,2013
parius,LC,2013
pergrandis,LC,2013
pertusus,LC,2013
planorbis,LC,2013
plinthis,LC,2013
polongimarumai,LC,2013
praecellens,LC,2013
profundorum,LC,2013
proximus,LC,2013
pulicarius,LC,2013
quercinus,LC,2013
rattus,LC,2013
recluzianus,LC,2013
retifer,LC,2013
richardsae,DD,2013
richeri,DD,2013
sanguinolentus,LC,2013
sazanka,LC,2013
sponsalis,LC,2013
striatellus,LC,2013
striatus,LC,2013
striolatus,LC,2013
stupa,LC,2013
sulcatus,LC,2013
suratensis,LC,2013
swainsoni,DD,2013
teramachii,LC,2013
terebra,LC,2013
tessulatus,LC,2013
textile,LC,2013
tirardi,DD,2013
tribblei,LC,2013
tulipa,LC,2013
varius,LC,2013
vaubani,DD,2013
vexillum,LC,2013
virgo,LC,2013
analis,NT,2012
caledonica,LC,2012
novaehollandiae,LC,2012
altivelis,LC,2010
aurilineata,LC,2010
aygula,LC,2010
batuensis,LC,2010
dorsomacula,LC,2010
gaimard,LC,2010
picta,LC,2010
pictoides,LC,2010
moneduloides,LC,2012
equiselis,LC,2011
hippurus,LC,2011
rudis,LC,2015
amplexus,LC,2010
haematopterus,LC,2016
columna,LC,2014
crassa,NT,2008
exesa,LC,2008
wellsi,LC,2008
trifoliata,VU,1998
bicuspidatus,LC,2011
crenilabis,LC,2012
heterocheilos,LC,2012
maximum,LC,2011
altivelis,VU,2008
macrospilus,LC,2010
cordatulus,EN,1998
novocaledonicus,LC,2011
bitriplinervia,EN,1998
couesii,LC,2015
albitentaculata,NT,2014
crassa,LC,2008
echinata,LC,2014
binotatus,LC,2012
cyanocheilus,LC,2012
striatus,LC,2012
capensis,LC,2015
pauciradiatus,LC,2015
aoupiniensis,VU,1998
ouaiemensis,VU,1998
rotundifolia,NT,1998
glabra,EN,1998
globosa,VU,2010
mouana,EN,1998
rosea,EN,1998
rotundifolia,EN,1998
squamosa,EN,1998
subfalcata,EN,1998
tontoutensis,EN,1998
microphyllus,VU,1998
novaezelandiae,NT,2015
seemannii,VU,2010
tenuipes,VU,1998
acclinidens,LC,2015
microdon,LC,2015
obscura,LC,2015
parapallida,LC,2015
pseudopallida,LC,2015
atrum,LC,2015
rotundata,LC,2010
serrulata,LC,2010
praetextatus,LC,2010
lacrymalis,NT,2008
chalcidicum,LC,2014
